start load data...
load data1 fine...
Iteration is stopped.
tests size: 45361
load data2 fine...
load total data fine...
pred_cur:0 traget_cur:1 m/634/1723640 m/634/1723641

pred_cur:1 traget_cur:1 m/680/4143600 m/680/4143601

pred_cur:0 traget_cur:1 m/662/3204620 m/662/3204621

pred_cur:1 traget_cur:1 m/673/3794610 m/673/3794611

pred_cur:1 traget_cur:1 m/620/1007640 m/620/1007641

pred_cur:1 traget_cur:1 m/672/3718620 m/672/3718621

pred_cur:1 traget_cur:1 m/697/5005100 m/697/5005101

pred_cur:1 traget_cur:1 m/674/3798620 m/674/3798621

pred_cur:1 traget_cur:1 m/612/581120 m/612/581121

pred_cur:1 traget_cur:1 m/628/1409600 m/628/1409601

pred_cur:0 traget_cur:1 m/658/2973600 m/658/2973601

pred_cur:1 traget_cur:1 m/607/348620 m/607/348621

pred_cur:1 traget_cur:1 m/699/5118620 m/699/5118621

pred_cur:1 traget_cur:1 m/655/2826630 m/655/2826631

pred_cur:0 traget_cur:1 m/659/3016110 m/659/3016111

pred_cur:1 traget_cur:1 m/655/2835120 m/655/2835121

pred_cur:1 traget_cur:1 m/612/578140 m/612/578141

pred_cur:1 traget_cur:1 m/670/3616100 m/670/3616101

pred_cur:1 traget_cur:1 m/638/1972600 m/638/1972601

pred_cur:0 traget_cur:1 m/672/3722600 m/672/3722601

pred_cur:1 traget_cur:1 m/617/870140 m/617/870141

pred_cur:1 traget_cur:1 m/639/1997640 m/639/1997641

pred_cur:1 traget_cur:1 m/614/699120 m/614/699121

pred_cur:1 traget_cur:1 m/685/4395600 m/685/4395601

pred_cur:1 traget_cur:1 m/672/3726100 m/672/3726101

pred_cur:1 traget_cur:1 m/639/2021620 m/639/2021621

pred_cur:1 traget_cur:1 m/659/3029600 m/659/3029601

pred_cur:1 traget_cur:1 m/617/881120 m/617/881121

pred_cur:1 traget_cur:1 m/640/2049640 m/640/2049641

pred_cur:1 traget_cur:1 m/609/418120 m/609/418121

pred_cur:1 traget_cur:1 m/692/4756130 m/692/4756131

pred_cur:1 traget_cur:1 m/612/574120 m/612/574121

pred_cur:1 traget_cur:1 m/633/1682640 m/633/1682641

pred_cur:0 traget_cur:1 m/606/305130 m/606/305131

pred_cur:1 traget_cur:1 m/647/2401620 m/647/2401621

pred_cur:1 traget_cur:1 m/650/2561110 m/650/2561111

