start load data...
load data1 fine...
Iteration is stopped.
tests size: 10284
load data2 fine...
load total data fine...
pred_cur:1 traget_cur:1 ite/572/374260 ite/572/374261

pred_cur:1 traget_cur:1 ite/533/169210 ite/533/169211

pred_cur:1 traget_cur:1 ite/565/337660 ite/565/337661

pred_cur:1 traget_cur:1 ite/546/235710 ite/546/235711

pred_cur:1 traget_cur:1 ite/573/374460 ite/573/374461

pred_cur:0 traget_cur:1 ite/543/223410 ite/543/223411

pred_cur:1 traget_cur:1 ite/535/179210 ite/535/179211

pred_cur:1 traget_cur:1 ite/557/292710 ite/557/292711

pred_cur:1 traget_cur:1 ite/596/499110 ite/596/499111

pred_cur:1 traget_cur:1 ite/545/233010 ite/545/233011

pred_cur:1 traget_cur:1 ite/534/176260 ite/534/176261

pred_cur:1 traget_cur:1 ite/513/65160 ite/513/65161

pred_cur:1 traget_cur:1 ite/506/28460 ite/506/28461

pred_cur:1 traget_cur:1 ite/528/145360 ite/528/145361

pred_cur:1 traget_cur:1 ite/532/164710 ite/532/164711

pred_cur:1 traget_cur:1 ite/528/145460 ite/528/145461

pred_cur:1 traget_cur:1 ite/541/208710 ite/541/208711

pred_cur:1 traget_cur:1 ite/565/334110 ite/565/334111

pred_cur:1 traget_cur:1 ite/570/361360 ite/570/361361

pred_cur:1 traget_cur:1 ite/501/1210 ite/501/1211

pred_cur:1 traget_cur:1 ite/553/271410 ite/553/271411

pred_cur:1 traget_cur:1 ite/568/352560 ite/568/352561

pred_cur:1 traget_cur:1 ite/513/62910 ite/513/62911

pred_cur:1 traget_cur:1 ite/523/119310 ite/523/119311

pred_cur:1 traget_cur:1 ite/565/337410 ite/565/337411

pred_cur:1 traget_cur:1 ite/535/178310 ite/535/178311

pred_cur:1 traget_cur:1 ite/600/516010 ite/600/516011

pred_cur:1 traget_cur:1 ite/536/182360 ite/536/182361

pred_cur:1 traget_cur:1 ite/506/29210 ite/506/29211

pred_cur:1 traget_cur:1 ite/542/218310 ite/542/218311

pred_cur:1 traget_cur:1 ite/540/203460 ite/540/203461

pred_cur:1 traget_cur:1 ite/546/234110 ite/546/234111

pred_cur:1 traget_cur:1 ite/532/161810 ite/532/161811

pred_cur:1 traget_cur:1 ite/566/342560 ite/566/342561

pred_cur:1 traget_cur:1 ite/578/402710 ite/578/402711

pred_cur:1 traget_cur:1 ite/562/319560 ite/562/319561

pred_cur:1 traget_cur:1 ite/511/54510 ite/511/54511

pred_cur:1 traget_cur:1 ite/535/181760 ite/535/181761

pred_cur:1 traget_cur:1 ite/549/250860 ite/549/250861

pred_cur:1 traget_cur:1 ite/538/193510 ite/538/193511

pred_cur:1 traget_cur:1 ite/582/426160 ite/582/426161

pred_cur:1 traget_cur:1 ite/576/392710 ite/576/392711

pred_cur:1 traget_cur:1 ite/554/280310 ite/554/280311

pred_cur:1 traget_cur:1 ite/527/138610 ite/527/138611

pred_cur:1 traget_cur:1 ite/581/416010 ite/581/416011

pred_cur:1 traget_cur:1 ite/556/288560 ite/556/288561

pred_cur:1 traget_cur:1 ite/520/102360 ite/520/102361

pred_cur:1 traget_cur:1 ite/581/420960 ite/581/420961

pred_cur:1 traget_cur:1 ite/581/418410 ite/581/418411

pred_cur:1 traget_cur:1 ite/524/120760 ite/524/120761

pred_cur:0 traget_cur:1 ite/538/194860 ite/538/194861

pred_cur:1 traget_cur:1 ite/565/334760 ite/565/334761

pred_cur:1 traget_cur:1 ite/552/268660 ite/552/268661

pred_cur:0 traget_cur:1 ite/590/463160 ite/590/463161

pred_cur:1 traget_cur:1 ite/523/116710 ite/523/116711

pred_cur:0 traget_cur:1 ite/546/236360 ite/546/236361

pred_cur:0 traget_cur:1 ite/563/324960 ite/563/324961

pred_cur:1 traget_cur:1 ite/513/65760 ite/513/65761

pred_cur:1 traget_cur:1 ite/524/124360 ite/524/124361

pred_cur:1 traget_cur:1 ite/599/511960 ite/599/511961

pred_cur:1 traget_cur:1 ite/594/488710 ite/594/488711

pred_cur:1 traget_cur:1 ite/587/451160 ite/587/451161

pred_cur:1 traget_cur:1 ite/525/126660 ite/525/126661

pred_cur:1 traget_cur:1 ite/576/394510 ite/576/394511

pred_cur:1 traget_cur:1 ite/573/379210 ite/573/379211

pred_cur:1 traget_cur:1 ite/510/49160 ite/510/49161

pred_cur:1 traget_cur:1 ite/505/25110 ite/505/25111

pred_cur:1 traget_cur:1 ite/542/215360 ite/542/215361

pred_cur:1 traget_cur:1 ite/516/82610 ite/516/82611

pred_cur:0 traget_cur:1 ite/508/39760 ite/508/39761

pred_cur:1 traget_cur:1 ite/522/112960 ite/522/112961

pred_cur:1 traget_cur:1 ite/587/448260 ite/587/448261

pred_cur:1 traget_cur:1 ite/546/235310 ite/546/235311

pred_cur:1 traget_cur:1 ite/521/105160 ite/521/105161

pred_cur:1 traget_cur:1 ite/599/513560 ite/599/513561

pred_cur:1 traget_cur:1 ite/515/75410 ite/515/75411

pred_cur:1 traget_cur:1 ite/559/304810 ite/559/304811

pred_cur:1 traget_cur:1 ite/576/390160 ite/576/390161

pred_cur:1 traget_cur:1 ite/509/42610 ite/509/42611

pred_cur:1 traget_cur:1 ite/540/207060 ite/540/207061

pred_cur:1 traget_cur:1 ite/508/40210 ite/508/40211

pred_cur:1 traget_cur:1 ite/570/359060 ite/570/359061

pred_cur:1 traget_cur:1 ite/519/97610 ite/519/97611

