start load data...
load data1 fine...
Iteration is stopped.
tests size: 50115
load data2 fine...
load total data fine...
pred_cur:1 traget_cur:1 ic/742/2175610 ic/742/2175611

pred_cur:0 traget_cur:1 ic/786/4459100 ic/786/4459101

pred_cur:1 traget_cur:1 ic/763/3239110 ic/763/3239111

pred_cur:1 traget_cur:1 ic/738/1965630 ic/738/1965631

pred_cur:1 traget_cur:1 ic/714/703110 ic/714/703111

pred_cur:1 traget_cur:1 ic/712/619640 ic/712/619641

pred_cur:1 traget_cur:1 ic/712/580130 ic/712/580131

pred_cur:1 traget_cur:1 ic/736/1858100 ic/736/1858101

pred_cur:1 traget_cur:1 ic/738/1957110 ic/738/1957111

pred_cur:1 traget_cur:1 ic/722/1112140 ic/722/1112141

pred_cur:1 traget_cur:1 ic/797/5023620 ic/797/5023621

pred_cur:1 traget_cur:1 ic/789/4627110 ic/789/4627111

pred_cur:1 traget_cur:1 ic/709/433130 ic/709/433131

pred_cur:1 traget_cur:1 ic/775/3875620 ic/775/3875621

pred_cur:1 traget_cur:1 ic/703/116630 ic/703/116631

pred_cur:1 traget_cur:1 ic/786/4436100 ic/786/4436101

pred_cur:0 traget_cur:1 ic/724/1212120 ic/724/1212121

pred_cur:1 traget_cur:1 ic/799/5129110 ic/799/5129111

pred_cur:0 traget_cur:1 ic/760/3074640 ic/760/3074641

pred_cur:1 traget_cur:1 ic/739/1976630 ic/739/1976631

pred_cur:1 traget_cur:1 ic/796/4960120 ic/796/4960121

pred_cur:1 traget_cur:1 ic/774/3839120 ic/774/3839121

pred_cur:1 traget_cur:1 ic/797/5007110 ic/797/5007111

pred_cur:1 traget_cur:1 ic/751/2634140 ic/751/2634141

pred_cur:1 traget_cur:1 ic/777/3988630 ic/777/3988631

pred_cur:1 traget_cur:1 ic/741/2104120 ic/741/2104121

pred_cur:1 traget_cur:1 ic/759/3024140 ic/759/3024141

pred_cur:1 traget_cur:1 ic/709/462100 ic/709/462101

pred_cur:1 traget_cur:1 ic/704/194110 ic/704/194111

pred_cur:1 traget_cur:1 ic/736/1838640 ic/736/1838641

pred_cur:1 traget_cur:1 ic/770/3594640 ic/770/3594641

pred_cur:1 traget_cur:1 ic/761/3141600 ic/761/3141601

pred_cur:1 traget_cur:1 ic/740/2075640 ic/740/2075641

pred_cur:1 traget_cur:1 ic/785/4417630 ic/785/4417631

pred_cur:1 traget_cur:1 ic/724/1231120 ic/724/1231121

pred_cur:1 traget_cur:1 ic/736/1843140 ic/736/1843141

pred_cur:1 traget_cur:1 ic/779/4061140 ic/779/4061141

pred_cur:1 traget_cur:1 ic/703/124100 ic/703/124101

pred_cur:0 traget_cur:1 ic/784/4326600 ic/784/4326601

pred_cur:1 traget_cur:1 ic/778/4014140 ic/778/4014141

pred_cur:1 traget_cur:1 ic/723/1186640 ic/723/1186641

pred_cur:1 traget_cur:1 ic/753/2750100 ic/753/2750101

pred_cur:1 traget_cur:1 ic/713/631100 ic/713/631101

pred_cur:0 traget_cur:1 ic/708/394120 ic/708/394121

pred_cur:1 traget_cur:1 ic/735/1798110 ic/735/1798111

pred_cur:1 traget_cur:1 ic/777/3972630 ic/777/3972631

pred_cur:1 traget_cur:1 ic/764/3319140 ic/764/3319141

pred_cur:1 traget_cur:1 ic/768/3508100 ic/768/3508101

pred_cur:1 traget_cur:1 ic/790/4630640 ic/790/4630641

pred_cur:1 traget_cur:1 ic/800/5158640 ic/800/5158641

pred_cur:1 traget_cur:1 ic/789/4622630 ic/789/4622631

pred_cur:1 traget_cur:1 ic/783/4295140 ic/783/4295141

pred_cur:1 traget_cur:1 ic/752/2664640 ic/752/2664641

pred_cur:1 traget_cur:1 ic/774/3820600 ic/774/3820601

pred_cur:1 traget_cur:1 ic/746/2372140 ic/746/2372141

pred_cur:1 traget_cur:1 ic/782/4215640 ic/782/4215641

pred_cur:0 traget_cur:1 ic/744/2271610 ic/744/2271611

pred_cur:1 traget_cur:1 ic/775/3898620 ic/775/3898621

pred_cur:1 traget_cur:1 ic/719/937120 ic/719/937121

pred_cur:1 traget_cur:1 ic/752/2684620 ic/752/2684621

pred_cur:1 traget_cur:1 ic/767/3442100 ic/767/3442101

pred_cur:1 traget_cur:1 ic/723/1162140 ic/723/1162141

pred_cur:1 traget_cur:1 ic/722/1142620 ic/722/1142621

pred_cur:1 traget_cur:1 ic/737/1897140 ic/737/1897141

pred_cur:1 traget_cur:1 ic/753/2739120 ic/753/2739121

pred_cur:1 traget_cur:1 ic/763/3250640 ic/763/3250641

pred_cur:1 traget_cur:1 ic/771/3663610 ic/771/3663611

pred_cur:1 traget_cur:1 ic/776/3949140 ic/776/3949141

pred_cur:1 traget_cur:1 ic/760/3114600 ic/760/3114601

pred_cur:1 traget_cur:1 ic/772/3700630 ic/772/3700631

pred_cur:1 traget_cur:1 ic/746/2359130 ic/746/2359131

pred_cur:1 traget_cur:1 ic/730/1510120 ic/730/1510121

pred_cur:1 traget_cur:1 ic/798/5086130 ic/798/5086131

pred_cur:1 traget_cur:1 ic/754/2757130 ic/754/2757131

pred_cur:1 traget_cur:1 ic/740/2042130 ic/740/2042131

pred_cur:1 traget_cur:1 ic/758/2982600 ic/758/2982601

pred_cur:1 traget_cur:1 ic/717/832600 ic/717/832601

pred_cur:1 traget_cur:1 ic/752/2688640 ic/752/2688641

pred_cur:1 traget_cur:1 ic/743/2193600 ic/743/2193601

pred_cur:1 traget_cur:1 ic/773/3769600 ic/773/3769601

pred_cur:1 traget_cur:1 ic/728/1440630 ic/728/1440631

pred_cur:1 traget_cur:1 ic/707/326140 ic/707/326141

pred_cur:1 traget_cur:1 ic/777/3961610 ic/777/3961611

pred_cur:1 traget_cur:1 ic/766/3395600 ic/766/3395601

pred_cur:1 traget_cur:1 ic/763/3264100 ic/763/3264101

pred_cur:1 traget_cur:1 ic/745/2320120 ic/745/2320121

pred_cur:1 traget_cur:1 ic/790/4633620 ic/790/4633621

pred_cur:1 traget_cur:1 ic/716/825120 ic/716/825121

pred_cur:1 traget_cur:1 ic/758/3008110 ic/758/3008111

pred_cur:1 traget_cur:1 ic/704/189130 ic/704/189131

pred_cur:1 traget_cur:1 ic/765/3360620 ic/765/3360621

pred_cur:1 traget_cur:1 ic/736/1834100 ic/736/1834101

pred_cur:1 traget_cur:1 ic/751/2639630 ic/751/2639631

pred_cur:1 traget_cur:1 ic/758/2997100 ic/758/2997101

pred_cur:1 traget_cur:1 ic/747/2429110 ic/747/2429111

pred_cur:1 traget_cur:1 ic/733/1695610 ic/733/1695611

pred_cur:1 traget_cur:1 ic/787/4517110 ic/787/4517111

pred_cur:1 traget_cur:1 ic/726/1317620 ic/726/1317621

pred_cur:1 traget_cur:1 ic/745/2291610 ic/745/2291611

pred_cur:1 traget_cur:1 ic/749/2545620 ic/749/2545621

pred_cur:1 traget_cur:1 ic/729/1474120 ic/729/1474121

pred_cur:1 traget_cur:1 ic/745/2294130 ic/745/2294131

pred_cur:1 traget_cur:1 ic/726/1331640 ic/726/1331641

pred_cur:1 traget_cur:1 ic/731/1591130 ic/731/1591131

pred_cur:1 traget_cur:1 ic/712/585110 ic/712/585111

pred_cur:0 traget_cur:1 ic/718/931100 ic/718/931101

pred_cur:1 traget_cur:1 ic/765/3374110 ic/765/3374111

pred_cur:1 traget_cur:1 ic/795/4901630 ic/795/4901631

pred_cur:1 traget_cur:1 ic/728/1433610 ic/728/1433611

pred_cur:1 traget_cur:1 ic/741/2119620 ic/741/2119621

pred_cur:1 traget_cur:1 ic/762/3187620 ic/762/3187621

pred_cur:1 traget_cur:1 ic/721/1089620 ic/721/1089621

pred_cur:1 traget_cur:1 ic/786/4437640 ic/786/4437641

pred_cur:1 traget_cur:1 ic/781/4167610 ic/781/4167611

pred_cur:1 traget_cur:1 ic/715/777110 ic/715/777111

pred_cur:0 traget_cur:1 ic/705/248130 ic/705/248131

pred_cur:1 traget_cur:1 ic/752/2697120 ic/752/2697121

pred_cur:1 traget_cur:1 ic/729/1489600 ic/729/1489601

pred_cur:1 traget_cur:1 ic/749/2511630 ic/749/2511631

pred_cur:1 traget_cur:1 ic/701/50100 ic/701/50101

pred_cur:0 traget_cur:1 ic/712/611140 ic/712/611141

pred_cur:1 traget_cur:1 ic/742/2180100 ic/742/2180101

pred_cur:1 traget_cur:1 ic/772/3730640 ic/772/3730641

pred_cur:1 traget_cur:1 ic/719/943620 ic/719/943621

pred_cur:1 traget_cur:1 ic/751/2631100 ic/751/2631101

pred_cur:1 traget_cur:1 ic/772/3707100 ic/772/3707101

pred_cur:1 traget_cur:1 ic/750/2563120 ic/750/2563121

pred_cur:1 traget_cur:1 ic/722/1118140 ic/722/1118141

pred_cur:1 traget_cur:1 ic/754/2763630 ic/754/2763631

pred_cur:1 traget_cur:1 ic/799/5111640 ic/799/5111641

pred_cur:1 traget_cur:1 ic/705/218120 ic/705/218121

pred_cur:1 traget_cur:1 ic/795/4898120 ic/795/4898121

pred_cur:1 traget_cur:1 ic/731/1602620 ic/731/1602621

pred_cur:1 traget_cur:1 ic/733/1697140 ic/733/1697141

pred_cur:1 traget_cur:1 ic/756/2890610 ic/756/2890611

pred_cur:1 traget_cur:1 ic/725/1250100 ic/725/1250101

pred_cur:1 traget_cur:1 ic/758/2987130 ic/758/2987131

pred_cur:1 traget_cur:1 ic/746/2388620 ic/746/2388621

pred_cur:1 traget_cur:1 ic/751/2650100 ic/751/2650101

pred_cur:1 traget_cur:1 ic/725/1283630 ic/725/1283631

pred_cur:1 traget_cur:1 ic/800/5167120 ic/800/5167121

pred_cur:1 traget_cur:1 ic/702/80620 ic/702/80621

pred_cur:1 traget_cur:1 ic/748/2460620 ic/748/2460621

pred_cur:1 traget_cur:1 ic/778/4043120 ic/778/4043121

pred_cur:1 traget_cur:1 ic/702/95130 ic/702/95131

pred_cur:1 traget_cur:1 ic/781/4187100 ic/781/4187101

pred_cur:1 traget_cur:1 ic/727/1353630 ic/727/1353631

pred_cur:1 traget_cur:1 ic/770/3634630 ic/770/3634631

pred_cur:1 traget_cur:1 ic/701/12120 ic/701/12121

