start load data...
load data1 fine...
Iteration is stopped.
tests size: 51481
load data2 fine...
load total data fine...
pred_cur:1 traget_cur:1 854/2766620 854/2766621

pred_cur:1 traget_cur:1 879/4067100 879/4067101

pred_cur:1 traget_cur:1 830/1512120 830/1512121

pred_cur:1 traget_cur:1 809/432100 809/432101

pred_cur:1 traget_cur:1 876/3923110 876/3923111

pred_cur:1 traget_cur:1 827/1376620 827/1376621

pred_cur:1 traget_cur:1 893/4824140 893/4824141

pred_cur:1 traget_cur:1 891/4717600 891/4717601

pred_cur:1 traget_cur:1 809/452620 809/452621

pred_cur:0 traget_cur:1 821/1090630 821/1090631

pred_cur:1 traget_cur:1 870/3614120 870/3614121

pred_cur:1 traget_cur:1 898/5088100 898/5088101

pred_cur:1 traget_cur:1 807/360600 807/360601

pred_cur:1 traget_cur:1 878/4022630 878/4022631

pred_cur:1 traget_cur:1 819/956630 819/956631

pred_cur:1 traget_cur:1 873/3778120 873/3778121

pred_cur:1 traget_cur:1 834/1743640 834/1743641

pred_cur:1 traget_cur:1 861/3137610 861/3137611

pred_cur:0 traget_cur:1 883/4307120 883/4307121

pred_cur:1 traget_cur:1 900/5192620 900/5192621

pred_cur:1 traget_cur:1 840/2074630 840/2074631

pred_cur:1 traget_cur:1 895/4914130 895/4914131

pred_cur:1 traget_cur:1 888/4568120 888/4568121

pred_cur:1 traget_cur:1 859/3044140 859/3044141

pred_cur:1 traget_cur:1 843/2213110 843/2213111

pred_cur:1 traget_cur:1 867/3432620 867/3432621

pred_cur:1 traget_cur:1 838/1974110 838/1974111

pred_cur:1 traget_cur:1 825/1281610 825/1281611

pred_cur:1 traget_cur:1 853/2725100 853/2725101

pred_cur:1 traget_cur:1 842/2160140 842/2160141

pred_cur:1 traget_cur:1 856/2868630 856/2868631

pred_cur:1 traget_cur:1 836/1865640 836/1865641

pred_cur:1 traget_cur:1 873/3781110 873/3781111

pred_cur:1 traget_cur:1 893/4822610 893/4822611

pred_cur:1 traget_cur:1 815/755130 815/755131

pred_cur:1 traget_cur:1 835/1812140 835/1812141

pred_cur:1 traget_cur:1 828/1408600 828/1408601

pred_cur:1 traget_cur:1 828/1452110 828/1452111

pred_cur:1 traget_cur:1 892/4780600 892/4780601

pred_cur:1 traget_cur:1 880/4115110 880/4115111

pred_cur:1 traget_cur:1 870/3616110 870/3616111

pred_cur:1 traget_cur:1 824/1204130 824/1204131

pred_cur:1 traget_cur:1 892/4745620 892/4745621

pred_cur:1 traget_cur:1 841/2095120 841/2095121

pred_cur:1 traget_cur:1 836/1855100 836/1855101

pred_cur:1 traget_cur:1 885/4400640 885/4400641

pred_cur:0 traget_cur:1 802/68640 802/68641

pred_cur:1 traget_cur:1 894/4856120 894/4856121

pred_cur:1 traget_cur:1 892/4773630 892/4773631

pred_cur:1 traget_cur:1 809/425620 809/425621

pred_cur:1 traget_cur:1 880/4113130 880/4113131

pred_cur:1 traget_cur:1 884/4340630 884/4340631

pred_cur:1 traget_cur:1 817/870620 817/870621

pred_cur:1 traget_cur:1 852/2692130 852/2692131

pred_cur:1 traget_cur:1 828/1440130 828/1440131

pred_cur:1 traget_cur:1 876/3938110 876/3938111

pred_cur:1 traget_cur:1 891/4683630 891/4683631

pred_cur:1 traget_cur:1 853/2714120 853/2714121

pred_cur:1 traget_cur:1 836/1834630 836/1834631

pred_cur:1 traget_cur:1 805/240610 805/240611

pred_cur:1 traget_cur:1 872/3729620 872/3729621

pred_cur:1 traget_cur:1 893/4832610 893/4832611

pred_cur:1 traget_cur:1 808/384610 808/384611

pred_cur:1 traget_cur:1 893/4812640 893/4812641

pred_cur:1 traget_cur:1 818/934630 818/934631

pred_cur:1 traget_cur:1 859/3059630 859/3059631

pred_cur:1 traget_cur:1 876/3916640 876/3916641

pred_cur:1 traget_cur:1 855/2859110 855/2859111

pred_cur:1 traget_cur:1 873/3757140 873/3757141

pred_cur:1 traget_cur:1 833/1684610 833/1684611

pred_cur:1 traget_cur:1 842/2139110 842/2139111

pred_cur:1 traget_cur:1 863/3270640 863/3270641

pred_cur:1 traget_cur:1 837/1903610 837/1903611

pred_cur:1 traget_cur:1 865/3337100 865/3337101

pred_cur:1 traget_cur:1 854/2800100 854/2800101

pred_cur:1 traget_cur:1 888/4549600 888/4549601

pred_cur:1 traget_cur:1 868/3486120 868/3486121

pred_cur:1 traget_cur:1 865/3353110 865/3353111

pred_cur:1 traget_cur:1 817/881130 817/881131

pred_cur:1 traget_cur:1 816/814630 816/814631

pred_cur:1 traget_cur:1 844/2269140 844/2269141

pred_cur:0 traget_cur:1 895/4928620 895/4928621

pred_cur:1 traget_cur:1 887/4516120 887/4516121

pred_cur:1 traget_cur:1 868/3531640 868/3531641

pred_cur:0 traget_cur:1 884/4332640 884/4332641

pred_cur:0 traget_cur:1 862/3222640 862/3222641

pred_cur:1 traget_cur:1 866/3395130 866/3395131

pred_cur:1 traget_cur:1 852/2702600 852/2702601

pred_cur:1 traget_cur:1 807/350100 807/350101

pred_cur:1 traget_cur:1 900/5198110 900/5198111

pred_cur:1 traget_cur:1 884/4316110 884/4316111

pred_cur:1 traget_cur:1 822/1112610 822/1112611

pred_cur:1 traget_cur:1 880/4139600 880/4139601

pred_cur:1 traget_cur:1 807/359600 807/359601

pred_cur:1 traget_cur:1 848/2453120 848/2453121

pred_cur:1 traget_cur:1 831/1567110 831/1567111

pred_cur:1 traget_cur:1 826/1326120 826/1326121

pred_cur:1 traget_cur:1 847/2403630 847/2403631

